trial_counter,kappa_mean,kappa_std,alpha,booster,eta,lambda,lambda_bias,max_evals,nthread,num_round,objective,seed,silent,task
54,0.669472,0.005158,0.085,gblinear,0.39,0.95,1.1,200,2,440,reg:linear,2015,1,regression
55,0.678955,0.006124,0.265,gblinear,0.51,4.4,0.6,200,2,400,reg:linear,2015,1,regression
56,0.675515,0.005299,0.14,gblinear,0.44,2.65,0.1,200,2,50,reg:linear,2015,1,regression
57,0.679174,0.005469,0.0,gblinear,0.64,4.2,0.4,200,2,370,reg:linear,2015,1,regression
58,0.679479,0.006001,0.195,gblinear,0.31,4.9,0.8,200,2,470,reg:linear,2015,1,regression
59,0.679569,0.004908,0.05,gblinear,0.23,3.2,3.0,200,2,500,reg:linear,2015,1,regression
60,0.680660,0.005864,0.12,gblinear,0.68,4.6,1.9,200,2,450,reg:linear,2015,1,regression
61,0.679137,0.004216,0.025,gblinear,0.76,3.8,1.2,200,2,90,reg:linear,2015,1,regression
62,0.666508,0.004103,0.1,gblinear,0.6,0.65,0.7,200,2,350,reg:linear,2015,1,regression
63,0.679050,0.005519,0.155,gblinear,0.14,3.65,0.0,200,2,150,reg:linear,2015,1,regression
64,0.680203,0.004372,0.07,gblinear,0.54,2.75,1.6,200,2,430,reg:linear,2015,1,regression
65,0.677088,0.006079,0.405,gblinear,0.83,3.45,1.3,200,2,200,reg:linear,2015,1,regression
66,0.681121,0.005506,0.04,gblinear,0.89,4.35,1.6,200,2,480,reg:linear,2015,1,regression
67,0.681643,0.005058,0.09,gblinear,0.97,4.05,1.7,200,2,480,reg:linear,2015,1,regression
68,0.680719,0.004870,0.085,gblinear,0.47,3.05,1.8,200,2,460,reg:linear,2015,1,regression
69,0.679211,0.006229,0.0,gblinear,0.98,4.1,0.9,200,2,410,reg:linear,2015,1,regression
70,0.680905,0.006085,0.135,gblinear,0.7,4.15,1.1,200,2,490,reg:linear,2015,1,regression
71,0.679009,0.005194,0.21,gblinear,0.03,3.9,1.4,200,2,440,reg:linear,2015,1,regression
72,0.680769,0.005602,0.18,gblinear,0.65,3.7,2.1,200,2,380,reg:linear,2015,1,regression
73,0.679881,0.006274,0.155,gblinear,0.95,4.65,1.7,200,2,410,reg:linear,2015,1,regression
74,0.680086,0.004688,0.115,gblinear,0.41,2.95,2.0,200,2,350,reg:linear,2015,1,regression
75,0.681215,0.005477,0.065,gblinear,0.56,4.95,1.5,200,2,490,reg:linear,2015,1,regression
76,0.679599,0.005876,0.25,gblinear,0.35,3.35,1.0,200,2,280,reg:linear,2015,1,regression
77,0.681370,0.005164,0.045,gblinear,0.91,4.8,1.3,200,2,470,reg:linear,2015,1,regression
78,0.678325,0.006399,0.305,gblinear,0.79,4.25,0.6,200,2,430,reg:linear,2015,1,regression
79,0.658514,0.004883,0.095,gblinear,0.76,2.15,2.2,200,2,10,reg:linear,2015,1,regression
80,0.680887,0.005651,0.03,gblinear,0.7,4.0,1.8,200,2,450,reg:linear,2015,1,regression
81,0.680254,0.005526,0.015,gblinear,0.6,4.45,2.6,200,2,400,reg:linear,2015,1,regression
82,0.679315,0.006228,0.22,gblinear,0.53,3.75,0.5,200,2,310,reg:linear,2015,1,regression
83,0.680722,0.005178,0.13,gblinear,0.5,3.5,1.4,200,2,500,reg:linear,2015,1,regression
84,0.678466,0.006658,0.35,gblinear,0.44,3.15,1.1,200,2,330,reg:linear,2015,1,regression
85,0.677239,0.005182,0.08,gblinear,0.58,1.9,0.8,200,2,360,reg:linear,2015,1,regression
86,0.679386,0.005192,0.155,gblinear,0.24,2.45,1.2,200,2,250,reg:linear,2015,1,regression
87,0.681123,0.005482,0.06,gblinear,1.0,3.95,2.5,200,2,420,reg:linear,2015,1,regression
88,0.680604,0.004984,0.115,gblinear,0.82,3.3,1.0,200,2,380,reg:linear,2015,1,regression
89,0.680407,0.005675,0.275,gblinear,0.87,2.6,1.7,200,2,480,reg:linear,2015,1,regression
90,0.675363,0.005284,0.0,gblinear,0.38,2.75,1.9,200,2,460,reg:linear,2015,1,regression
91,0.679610,0.005144,0.19,gblinear,0.66,3.55,0.4,200,2,140,reg:linear,2015,1,regression
92,0.677969,0.005506,0.235,gblinear,0.32,1.4,0.7,200,2,190,reg:linear,2015,1,regression
93,0.680032,0.005344,0.105,gblinear,0.73,2.95,2.3,200,2,270,reg:linear,2015,1,regression
94,0.679182,0.006265,0.205,gblinear,0.84,4.5,0.9,200,2,400,reg:linear,2015,1,regression
95,0.680886,0.004925,0.05,gblinear,0.49,4.85,2.0,200,2,310,reg:linear,2015,1,regression
96,0.674078,0.005138,0.01,gblinear,0.21,2.35,1.3,200,2,220,reg:linear,2015,1,regression
97,0.679277,0.006128,0.18,gblinear,0.62,4.7,1.5,200,2,500,reg:linear,2015,1,regression
98,0.680852,0.005648,0.03,gblinear,0.76,4.3,0.1,200,2,440,reg:linear,2015,1,regression
99,0.680295,0.006072,0.165,gblinear,0.46,4.1,0.8,200,2,470,reg:linear,2015,1,regression
100,0.679131,0.004935,0.075,gblinear,0.14,3.4,0.3,200,2,450,reg:linear,2015,1,regression
101,0.680663,0.004820,0.09,gblinear,0.28,3.8,1.1,200,2,380,reg:linear,2015,1,regression
102,0.645875,0.005073,0.145,gblinear,0.96,0.1,1.2,200,2,340,reg:linear,2015,1,regression
103,0.681432,0.005087,0.055,gblinear,0.9,3.6,2.8,200,2,430,reg:linear,2015,1,regression
104,0.678416,0.006923,0.245,gblinear,0.93,5.0,0.5,200,2,490,reg:linear,2015,1,regression
105,0.675882,0.005635,0.455,gblinear,0.42,4.6,0.6,200,2,360,reg:linear,2015,1,regression
106,0.675863,0.005960,0.48,gblinear,0.57,4.2,1.4,200,2,410,reg:linear,2015,1,regression
107,0.678428,0.004389,0.115,gblinear,0.05,3.0,1.7,200,2,290,reg:linear,2015,1,regression
108,0.678957,0.004667,0.305,gblinear,0.52,2.05,1.6,200,2,90,reg:linear,2015,1,regression
109,0.673346,0.006527,0.38,gblinear,0.4,4.4,2.1,200,2,30,reg:linear,2015,1,regression
110,0.679522,0.004712,0.07,gblinear,0.37,2.75,2.2,200,2,480,reg:linear,2015,1,regression
111,0.680364,0.005224,0.105,gblinear,0.26,3.2,1.8,200,2,460,reg:linear,2015,1,regression
112,0.678376,0.006640,0.255,gblinear,0.8,4.0,2.7,200,2,420,reg:linear,2015,1,regression
